"pct","freq"
1,60
5,95
6,37
7,75
9,106
10,79
13,108
14,136
17,57
18,112
19,108
20,38
22,45
23,380
24,132
25,234
26,71
28,113
30,117
32,215
33,65
34,133
40,375
41,161
42,185
43,303
44,125
45,78
46,129
47,201
48,90
49,566
50,106
52,140
60,278
61,88
62,125
63,80
66,237
67,269
68,86
69,25
70,108
71,192
72,124
73,186
75,330
76,131
77,130
78,96
79,238
81,129
83,111
84,209
88,64
90,247
94,73
100,83
101,109
102,104
103,102
104,43
105,223
106,1264
107,40
108,53
109,250
110,121
111,127
112,70
113,113
114,382
115,136
120,219
121,95
122,249
123,90
NA,1
